   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP   NVIDIA GPU     VID   POWER
2026-07-16  22:57:53  48.71    6.5  100.0       0   75    1605    52   1.4371   45.7
2026-07-16  22:57:54  51.32    4.0  100.0       0   73    1605    52   1.4924   25.5
2026-07-16  22:57:55  49.65    5.7  100.0       0   87    1605    52   1.4282   30.2
2026-07-16  22:57:56  49.29    3.7  100.0       0   85    1605    52   1.4355   26.6
2026-07-16  22:57:57  50.16    4.9  100.0       0   75    1605    52   1.4519   26.0
2026-07-16  22:57:58  49.29    6.5  100.0       0   79    1605    52   1.4072   35.5
2026-07-16  22:57:59  50.96    6.7  100.0       0   83    1605    52   1.4141   50.3
2026-07-16  22:58:00  51.20    9.3  100.0       0   87    1605    53   1.3676   58.3
2026-07-16  22:58:01  51.36    9.5  100.0       0   85    1605    53   1.4132   65.5
2026-07-16  22:58:02  51.66    8.1  100.0       0   84    1605    53   1.4540   53.0
2026-07-16  22:58:03  49.66    9.1  100.0       0   84    1605    53   1.4375   47.9
2026-07-16  22:58:04  49.63    9.4  100.0       0   84    1605    54   1.4128   48.4
2026-07-16  22:58:05  52.64    6.5  100.0       0   87    1605    54   1.3916   44.6
2026-07-16  22:58:06  51.12    6.7  100.0       0   87    1605    54   1.4539   45.8
2026-07-16  22:58:07  50.31    8.6  100.0       0   89    1605    54   1.4347   53.8
2026-07-16  22:58:08  51.17    7.7  100.0       0   84    1605    54   1.4613   50.0
2026-07-16  22:58:09  47.27    6.9  100.0       0   82    1605    54   1.3656   44.3
2026-07-16  22:58:10  48.27    6.7  100.0       0   90    1605    54   1.3989   41.1
2026-07-16  22:58:11  51.87    6.9  100.0       0   80    1605    54   1.4648   53.4
2026-07-16  22:58:12  51.34    6.1  100.0       0   89    1605    54   1.4290   47.8
2026-07-16  22:58:13  49.35    7.5  100.0       0   84    1605    54   1.4395   45.0
2026-07-16  22:58:14  50.06    6.6  100.0       0   87    1605    54   1.3695   52.1
2026-07-16  22:58:15  50.21   13.0  100.0       0   93    1605    54   1.2490   67.4   TEMP
2026-07-16  22:58:16  31.99   14.1  100.0       0   83    1605    54   1.4272   49.9
2026-07-16  22:58:17  44.92    9.1  100.0       0   95    1605    54   1.4368   55.0
2026-07-16  22:58:18  50.55   14.1  100.0       0   96    1605    55   1.4153   68.6
2026-07-16  22:58:19  49.34   10.1  100.0       0   81    1605    55   1.4587   74.3
2026-07-16  22:58:20  43.62   31.3  100.0       0  100    1605    55   1.2158   93.1
2026-07-16  22:58:21  37.25   39.2  100.0       0   99    1605    55   1.1803   89.7   TEMP   PL2
2026-07-16  22:58:22  34.09   40.1  100.0       0   91    1605    56   1.2056   87.7   PL2
2026-07-16  22:58:23  38.98   48.8  100.0       0   94    1605    56   1.4135   84.8   PL2
2026-07-16  22:58:24  46.90   19.1  100.0       0   95    1605    57   1.2205   75.6   TEMP
2026-07-16  22:58:25  44.97   27.4  100.0       0   98    1605    57   1.2361   78.4   TEMP
2026-07-16  22:58:26  44.57   27.8  100.0       0  100    1605    57   1.4327   81.5   TEMP
2026-07-16  22:58:27  45.21   21.2  100.0       0  100    1605    57   1.3452   74.3   TEMP
2026-07-16  22:58:28  43.64   20.0  100.0       0   97    1605    57   1.3235   65.1   TEMP
